Lock,No lock
123877219,122633905
127476263,119270426
123737355,115940199
126100515,103001236
125001961,104852400
104076161,123026795
104071542,124211371
103511896,123017688
118162731,124710263
103831579,122679409
117838208,120885091
125593166,115237522
115939383,101703325
125354174,123559980
124418258,105610541
126691389,123723358
105350264,107457647
121475102,122228498
116413437,126207867
124573910,123850506
112677043,105973554
102689040,105910967
122399686,123991643
118009569,105141975
107691262,104207030
125908199,106584998
114686867,105730184
106655096,107087305
104311721,121568538
113603651,104062175
103336731,104681975
102952967,103917773
107481384,104768930
104337700,105062644
110973746,115252807
103102228,123384365
114446321,124901308
108250475,105753386
125207503,115557712
110608677,106753564
123751364,108437233
111251880,103257445
123277971,116565113
125612517,110736723
105906290,106221560
124084322,106077827
130122640,107643603
126033681,102328170
107584868,115020667
127552268,113853383
126705991,105747574
117808825,105847081
125044804,113169023
126158345,118148550
107802648,117692589
109587666,110666758
105878124,101879181
105792173,102240875
109478410,121081525
105163425,101920610
125841917,123286487
112434671,104187158
105633792,124452707
125786642,124207163
113441990,125248288
123673544,105004790
118603383,102776183
122898401,123054739
127822595,124445102
107461532,103227405
104479592,105693299
123040577,119055598
119284116,107360775
112589690,108592971
123783919,104514834
125301254,109798346
124215805,106906498
125694948,103002660
123975421,114734773
123882895,106740735
124552579,119431256
120182861,123243821
123919114,125898162
123222308,123702207
123901802,115992345
125208126,103279000
124039390,114291816
125718788,124508970
126825008,124119994
122574995,124993953
127404722,114473006
123657278,108824545
124292578,123875292
124140328,123167136
122332476,128695350
103477898,123251585
127490873,124880880
107136152,117253623
123706159,119100609
126088645,112390165
